HudongItem,relation,NewNode
堇菜科,parent taxon,金虎尾目
大马士革,sister city,伊斯坦堡
兴隆县,contains administrative territorial entity,大杖子镇
科特迪瓦,contains administrative territorial entity,中科莫埃区
hae,part of,格鲁吉亚字母
日本林蛙,IUCN conservation status,无危物种
高林,given name,Faouzi
堇菜科,topic's main category,Category:堇菜科
1836年,topic's main category,Category:1836年
大马士革,sister city,布宜诺斯艾利斯
兴隆县,contains administrative territorial entity,蘑菇峪乡
科特迪瓦,contains administrative territorial entity,十八山区
责任保险,instance of,金融产品
土地管理局,instance of,政府机构
眵,subclass of,体液
蛱蝶,instance of,生物分类单元
LRA,instance of,民兵
爱人,instance of,coexistence
艺术作品,subclass of,创意作品
中型车,subclass of,汽车模型
Chest,publisher,美国胸内科医师学会
Latham,country of citizenship,大不列颠及爱尔兰联合王国
高林,place of birth,雅雷地区圣普里耶斯
南岛,located in or next to body of water,塔斯曼海
1836年,has part,March 1836
大马士革,sister city,迪拜酋长国
兴隆县,contains administrative territorial entity,三道河镇 (兴隆县)
科特迪瓦,contains administrative territorial entity,恩济-科莫埃区
责任保险,subclass of,保险
BSP,chairperson,Mayawati
爱人,instance of,社会角色
艺术作品,subclass of,item of collections or exhibitions
中型车,series,汽车种类
魏襄王,sibling,太子申
高林,occupation,足球运动员
南岛,highest point,库克山
1836年,has part,April 1836
大马士革,sister city,叶里温
兴隆县,contains administrative territorial entity,安子岭乡 (兴隆县)
科特迪瓦,contains administrative territorial entity,萨瓦纳区
Antonio,instance of,男性人名
家家,instance of,维基媒体消歧义页
黑软颌鱼,instance of,生物分类单元
NIA,instance of,机场
Pepper,subclass of,类人型机器人
土地管理局,located in the administrative territorial entity,华盛顿哥伦比亚特区
蛱蝶,parent taxon,凤蝶总科
LRA,topic's main category,Category:Lord's Resistance Army
爱人,subclass of,重要他人
霍伊尔,family name,Hoyle
天地,place of birth,广州市
魏襄王,sibling,公子高 (魏国)
Latham,place of birth,埃尔瑟姆
高林,position played on team / speciality,fullback
南岛,located in time zone,UTC+12:00
1836年,has part,May 1836
兴隆县,contains administrative territorial entity,大水泉乡
科特迪瓦,contains administrative territorial entity,邦达马河谷区
低血糖,subclass of,endocrine pancreas disease
Antonio,language of work or name,意大利语
JR,airline hub,西安咸阳国际机场
Pepper,manufacturer,Aldebaran Robotics
BSP,legal form,national level Indian political party
蛱蝶,topic's main category,Category:蛱蝶科
爱人,subclass of,人类群组
艺术作品,has immediate cause,artistic creation
霍伊尔,place of birth,宾格利
天地,occupation,歌手
魏襄王,child,公子政
Latham,place of death,温彻斯特
高林,member of sports team,圣艾蒂安足球俱乐部
南岛,located in time zone,UTC+13:00
1836年,has part,August 1836
大马士革,sister city,圣保罗
兴隆县,located in time zone,UTC+08:00
科特迪瓦,contains administrative territorial entity,沃罗杜古区
冷水花,instance of,生物分类单元
18,instance of,NMHH rating category
MAB,instance of,机场
白刺,instance of,生物分类单元
库特,instance of,television series episode
低血糖,subclass of,glucose metabolism disease
JR,significant event,Joy Air Flight 1529
黑软颌鱼,parent taxon,Malacosteinae
Pepper,manufacturer,软银手机
土地管理局,follows,United States Grazing Service
蛱蝶,described by source,Encyclopedia of Armenian Nature
艺术作品,fabrication method,视觉艺术
霍伊尔,place of death,伯恩茅斯
天地,member of,TEEN TOP
魏襄王,child,魏昭王
高林,member of sports team,那不勒斯足球俱乐部
南岛,topic's main category,Category:南岛
1836年,has part,December 1836
兴隆县,topic's main category,Category:兴隆县
科特迪瓦,contains administrative territorial entity,赞赞区
18,replaces,Category IV
MAB,named after,马拉巴
库特,series,超级制作人
多酚,topic's main category,Category:多酚
低血糖,health specialty,内分泌学
JR,item operated,新舟60
黑软颌鱼,topic's main category,Category:Malacosteus
BSP,political ideology,世俗主义
土地管理局,follows,Commissioner of the General Land Office
艺术作品,topic's main template,Template:Infobox artwork
霍伊尔,manner of death,自然死亡
天地,educated at,Gwangnam Elementary School
高林,member of sports team,法国21岁以下国家足球队
1836年,has part,February 1836
大马士革,sister city,开罗
科特迪瓦,located in time zone,UTC±00:00
Voss,instance of,地方当局
Total,instance of,音乐专辑
金钱菊,instance of,生物分类单元
Dry,instance of,法国市镇
朱利安,instance of,人类
敕勒,instance of,邦联制
冷水花,parent taxon,冷水花属
白刺,parent taxon,Nitraria
卡萨格兰德,located in the administrative territorial entity,皮纳尔县
库特,season,我为喜剧狂
低血糖,drug used for treatment,diazoxide
Antonio,significant event,frequency of first names in the Netherlands 2010
BSP,political ideology,Ambedkarism
艺术作品,topic's main category,Category:艺术作品
霍伊尔,cause of death,中风
天地,educated at,Tanbeol Middle School
高林,member of sports team,阿尔及利亚国家足球队
1836年,has part,January 1836
大马士革,sister city,东京都
科特迪瓦,currency,非洲金融共同体法郎
膜蛋白质,topic's main category,Category:膜蛋白
Total,genre,朋克摇滚
钢芯铝绞线,use,高压电线
MAB,located in the administrative territorial entity,马拉巴
卡萨格兰德,located in time zone,北美山区时区
库特,follows,Sandwich Day
BSP,political ideology,平等原则
土地管理局,interested in,public land
霍伊尔,child,Geoffrey Hoyle
天地,educated at,Gwangju High School
Latham,occupation,鸟类学家
1836年,has part,July 1836
大马士革,sister city,安曼
科特迪瓦,shares border with,布吉纳法索
William,instance of,男性人名
Lye,instance of,人类
Chilodonella,instance of,生物分类单元
山楝,instance of,生物分类单元
Voss,located in the administrative territorial entity,霍达兰郡
Total,performer,Teenage Bottlerocket
金钱菊,parent taxon,金鸡菊属
Dry,located in the administrative territorial entity,canton of Cléry-Saint-André
朱利安,country of citizenship,古罗马
MAB,place served by transport hub,马拉巴
卡萨格兰德,topic's main category,Category:Casa Grande Arizona
库特,followed by,Do-Over
低血糖,described by source,亚美尼亚苏维埃百科全书
BSP,political ideology,社会正义
土地管理局,topic's main category,Category:Bureau of Land Management
天地,educated at,Seongji Secondary School
Latham,occupation,动物学家
高林,participant of,2014年世界杯足球赛
1836年,has part,June 1836
科特迪瓦,shares border with,迦纳
卢瓦河,mouth of the watercourse,萨尔特河
Pam,instance of,指小
朱砂鱼谱,genre,专论
Voss,head of government,Hans-Erik Ringkjøb
Total,record label,Red Scare Industries
Dry,located in the administrative territorial entity,卢瓦雷省
卡萨格兰德,category of associated people,Category:People from Casa Grande Arizona
BSP,political ideology,Self-Respect Movement
霍伊尔,occupation,编剧
天地,educated at,汉阳大学
Latham,occupation,插画家
高林,participant of,2013年非洲国家杯
1836年,has part,November 1836
大马士革,sister city,费拉拉
William,significant event,most frequent first names at birth in Rotterdam (1811-1913)
Lye,given name,Kaare
Chilodonella,parent taxon,Chilododontidae
Voss,located in time zone,UTC+01:00
Total,follows,Another Way
Dry,located in the administrative territorial entity,奥尔良区
朱利安,Roman praenomen,Flavius
Antonio,said to be the same as,Antonios
BSP,topic's main category,Category:Bahujan Samaj Party
天地,educated at,Gangdong University
Latham,occupation,自然科学家
高林,participant of,2015年非洲国家杯
1836年,has part,October 1836
卢瓦河,watershed,Loire basin
William,significant event,frequency of first names in the Netherlands 2010
Lye,occupation,植物学家
山楝,basionym,Aglaia polystachya
Voss,shares border with,维克
Total,followed by,Warning Device
Antonio,said to be the same as,Antonius
霍伊尔,occupation,作家
天地,affiliation,티오피미디어
Latham,occupation,作家
高林,participant of,2017年非洲国家杯
1836年,has part,September 1836
大马士革,sister city,拉巴特
科特迪瓦,shares border with,马里共和国
山楝,IUCN conservation status,无危物种
Voss,shares border with,艾于兰
Dry,located in time zone,UTC+01:00
Antonio,said to be the same as,安托万
Latham,occupation,scientific illustrator
William,name day,5月28日
Voss,shares border with,于尔维克
Dry,located in time zone,UTC+02:00
朱利安,manner of death,杀害
Antonio,said to be the same as,Antonín
霍伊尔,occupation,大学教员
Latham,field of work,鸟类学
大马士革,sister city,科尔多瓦
科特迪瓦,flag,科特迪瓦国旗
William,name day,4月6日
Voss,shares border with,格兰温
Dry,shares border with,卢瓦尔河畔默恩
朱利安,place of burial,大数
Antonio,said to be the same as,Antônio
科特迪瓦,coat of arms,科特迪瓦国徽
Voss,shares border with,克瓦姆
朱利安,father,Julius Constantius
Antonio,said to be the same as,António
霍伊尔,occupation,非虚构文学作家
Latham,member of,皇家学会
科特迪瓦,driving side,右
Voss,shares border with,瓦克斯达尔
Dry,shares border with,克莱里圣昂德雷
朱利安,mother,Basilina
Antonio,said to be the same as,Tonino
霍伊尔,occupation,science fiction writer
Latham,member of,瑞典皇家科学院
大马士革,sister city,杜拜
科特迪瓦,electrical plug type,欧式插头
William,said to be the same as,Guillaume
Voss,topic's main category,Category:Voss
Dry,shares border with,茹伊莱波蒂耶
朱利安,sibling,Constantius Gallus
霍伊尔,field of work,天文学
Latham,member of,伦敦林奈学会
科特迪瓦,electrical plug type,Type E
William,said to be the same as,Wilhelm
Voss,category of associated people,Category:People from Voss
Dry,shares border with,瓦地区莱利
朱利安,spouse,海伦娜 (尤利安之妻)
Antonio,said to be the same as,Antoninus
霍伊尔,member of,皇家学会
Latham,member of,利奥波第那科学院
大马士革,sister city,托莱多
科特迪瓦,has quality,partly free country
朱利安,languages spoken written or signed,古希腊语
霍伊尔,member of,美国文理科学院
Latham,award received,皇家学会会员
大马士革,topic's main category,Category:大马士革
科特迪瓦,top-level Internet domain,.ci
朱利安,occupation,政治人物
Antonio,said to be the same as,Antoni
霍伊尔,member of,美国哲学会
Latham,described by source,Latham John (1740-1837) (DNB00)
大马士革,category of associated people,Category:大马士革人
科特迪瓦,topic's main Wikimedia portal,Portal:Ivory Coast
William,said to be the same as,Guillem
Antonio,said to be the same as,Antony
霍伊尔,member of,美国科学促进会
Latham,described by source,Dictionary of National Biography (1885-1900)
大马士革,category for people born here,Category:Births in Damascus
科特迪瓦,topic's main category,Category:象牙海岸
William,said to be the same as,Willem
朱利安,position held,罗马皇帝
Antonio,said to be the same as,Antal
霍伊尔,award received,皇家学会会员
大马士革,category for people who died here,Category:Deaths in Damascus
科特迪瓦,category of associated people,Category:科特迪瓦人
William,said to be the same as,Guillén
朱利安,position held,Ancient Roman senator
霍伊尔,award received,皇家奖章
大马士革,category of people buried here,Category:Burials in Damascus
科特迪瓦,category for people born here,Category:Births in Côte d'Ivoire
